iter	PRAUC	Logloss
0	0.7669941378	0.6865066856
1	0.854755276	0.678607071
2	0.8915182109	0.6703453073
3	0.9232208805	0.6623720082
4	0.9371884964	0.6538091143
5	0.9438522073	0.6486289795
6	0.9466269871	0.6429661254
7	0.9576871037	0.635804135
8	0.964753643	0.6279129693
9	0.9668785565	0.6227844707
10	0.9774682251	0.6144624506
11	0.982039068	0.6066140735
12	0.9794392494	0.601961429
13	0.9833804606	0.5955470603
14	0.9853756877	0.589722061
15	0.9863997535	0.5834876602
16	0.9882780771	0.5730340956
17	0.991555572	0.5645791934
18	0.9933356789	0.5591571104
19	0.9966946222	0.5523537685
20	0.9961421808	0.546256668
21	0.9977820282	0.542161514
22	0.997861934	0.5359601604
23	0.9981729588	0.5304166833
24	0.9985154338	0.5269670322
25	0.998344582	0.522638698
26	0.9992092745	0.5164615754
27	0.9991354142	0.5132754339
28	0.9992878872	0.5078127094
29	0.9995301536	0.5045172178
30	0.9989080063	0.4999797661
31	0.9993764444	0.4963172622
32	0.9992946652	0.4909357637
33	0.999147932	0.4855930696
34	0.9995220961	0.4817726402
35	0.9996008535	0.4786431245
36	0.9996008535	0.4730868625
37	0.9995959094	0.4699244741
38	0.9996008535	0.4639930174
39	0.9996008535	0.4612091982
40	0.999355486	0.4561901765
41	0.9995220961	0.4533429418
42	0.9996826327	0.4477808959
43	0.9996038753	0.4452149663
44	0.9995241828	0.4413577692
45	0.9995241828	0.43740671
46	0.9994424036	0.4345427356
47	0.9995241828	0.4318747966
48	0.9996826327	0.4265800507
49	0.9996826327	0.4207213025
50	0.9996008535	0.4190263514
51	0.9999211049	0.4115540248
52	0.9999211049	0.4071508686
53	0.9999211049	0.4040206251
54	0.9999211049	0.4003110039
55	0.9999211049	0.3963597289
56	0.9999211049	0.3910354987
57	0.9999211049	0.3879680338
58	0.9999211049	0.3860213664
59	0.9999211049	0.3833647802
60	0.9999211049	0.3807827608
61	0.9999211049	0.3778959573
62	1	0.3738472883
63	1	0.3698951168
64	1	0.3662038768
65	1	0.3636641902
66	1	0.3609124149
67	1	0.3596405293
68	1	0.3566651494
69	1	0.3549632429
70	1	0.3523899867
71	1	0.3501535712
72	1	0.3474566567
73	1	0.3443245992
74	1	0.3428702506
75	1	0.3398416738
76	1	0.3374866181
77	1	0.335443833
78	1	0.3329919657
79	1	0.3318043223
80	1	0.3297164101
81	1	0.3284182634
82	1	0.3261709214
83	1	0.3240343811
84	1	0.3200723015
85	1	0.3179510507
86	1	0.3157259002
87	1	0.3129078671
88	1	0.3111839698
89	1	0.3097348174
90	1	0.3071902823
91	1	0.3052534593
92	1	0.3031725358
93	1	0.3012645625
94	1	0.2995554319
95	1	0.2978717469
96	1	0.2966759312
97	1	0.2929159459
98	1	0.2907206388
99	1	0.2887386585
100	1	0.2854906049
101	1	0.2842556224
102	1	0.2829175213
103	1	0.2802450004
104	1	0.2775437042
105	1	0.2759367854
106	1	0.2736083533
107	1	0.2719146897
