iter	Passed	Remaining
0	3	9546
1	5	8513
2	6	6634
3	7	5974
4	10	6352
5	13	6580
6	15	6807
7	18	6933
8	21	7145
9	24	7261
10	27	7392
11	29	7460
12	32	7555
13	36	7777
14	39	7821
15	42	7887
16	45	7957
17	48	8027
18	51	8112
19	54	8141
20	57	8220
21	60	8207
22	63	8171
23	65	8142
24	68	8092
25	70	8019
26	73	8083
27	75	8066
28	78	8023
29	80	8006
30	85	8170
31	90	8409
32	92	8301
33	93	8194
34	95	8103
35	97	8019
36	99	7931
37	100	7827
38	102	7792
39	104	7750
40	106	7661
41	107	7581
42	109	7505
43	110	7426
44	112	7354
45	113	7260
46	114	7170
47	115	7114
48	117	7052
49	118	7016
50	120	6942
51	121	6867
52	122	6818
53	123	6761
54	125	6712
55	126	6645
56	128	6615
57	129	6553
58	130	6486
59	131	6426
60	132	6360
61	132	6302
62	134	6251
63	135	6199
64	135	6130
65	136	6063
66	137	5998
67	137	5934
68	138	5873
69	138	5814
70	139	5765
71	140	5718
72	141	5667
73	142	5616
74	142	5568
75	143	5529
76	144	5487
77	145	5444
78	146	5411
79	147	5373
80	148	5337
81	149	5309
82	150	5278
83	151	5242
84	151	5208
85	152	5174
86	153	5134
87	153	5095
88	154	5057
89	155	5022
90	156	4992
91	156	4961
92	157	4926
93	158	4891
94	158	4858
95	159	4825
96	160	4791
97	160	4760
98	161	4728
99	162	4698
100	162	4668
101	163	4637
102	163	4608
103	164	4580
104	165	4553
105	165	4526
106	166	4500
107	167	4473
